sample_size,data_size,hidden_layer_sizes,time,accuracy
20,20,2,0.8151683807373047,0.5
20,20,4,1.101454257965088,0.9875
20,20,6,0.33936572074890137,1.0
40,20,2,1.1357734203338623,0.99375
40,20,4,1.160998821258545,0.98125
40,20,6,0.8200111389160156,0.98125
60,20,2,2.0055978298187256,1.0
60,20,4,0.925487756729126,0.9958333333333333
60,20,6,0.7183809280395508,0.9958333333333333
80,20,2,2.050612449645996,0.728125
80,20,4,1.520517110824585,0.99375
80,20,6,0.5634951591491699,0.996875
100,20,2,2.1220505237579346,0.965
100,20,4,1.6219127178192139,1.0
100,20,6,1.3531668186187744,0.995
20,40,2,1.4924161434173584,0.95
20,40,4,1.133603811264038,0.98125
20,40,6,1.075721025466919,0.9875
40,40,2,2.312006711959839,0.996875
40,40,4,1.8091940879821777,0.984375
40,40,6,0.7393486499786377,1.0
60,40,2,0.2752199172973633,0.29791666666666666
60,40,4,1.0319838523864746,0.9979166666666667
60,40,6,1.3027894496917725,1.0
80,40,2,3.4787044525146484,0.7515625
80,40,4,1.1319451332092285,1.0
80,40,6,0.9253799915313721,1.0
100,40,2,3.7368927001953125,1.0
100,40,4,2.0889742374420166,1.0
100,40,6,1.7719731330871582,0.99875
20,60,2,0.9359531402587891,0.475
20,60,4,0.9735944271087646,0.9958333333333333
20,60,6,0.5503332614898682,0.9875
40,60,2,3.0999696254730225,0.99375
40,60,4,1.8404667377471924,0.99375
40,60,6,1.0060553550720215,0.9958333333333333
60,60,2,1.8178842067718506,0.7597222222222222
60,60,4,1.8979415893554688,0.9944444444444445
60,60,6,1.7918727397918701,0.9986111111111111
80,60,2,0.40462708473205566,0.2552083333333333
80,60,4,2.181126117706299,1.0
80,60,6,1.268028974533081,1.0
100,60,2,3.0736265182495117,0.7516666666666667
100,60,4,2.9585723876953125,0.9975
100,60,6,1.7645502090454102,0.9975
20,80,2,1.7391366958618164,1.0
20,80,4,1.1663453578948975,0.990625
20,80,6,0.8958003520965576,1.0
40,80,2,2.0476396083831787,1.0
40,80,4,1.7239775657653809,1.0
40,80,6,1.5322136878967285,1.0
60,80,2,2.133474826812744,1.0
60,80,4,3.235051393508911,0.996875
60,80,6,1.6568984985351562,1.0
80,80,2,0.2767176628112793,0.2703125
80,80,4,2.389976739883423,1.0
80,80,6,1.407557725906372,0.9984375
100,80,2,3.191277265548706,0.999375
100,80,4,2.8000473976135254,1.0
100,80,6,1.6979444026947021,1.0
20,100,2,2.554691791534424,0.985
20,100,4,1.2624335289001465,0.9975
20,100,6,1.047314167022705,1.0
40,100,2,2.012324810028076,1.0
40,100,4,1.9341886043548584,1.0
40,100,6,1.0107336044311523,1.0
60,100,2,2.2159554958343506,1.0
60,100,4,2.778615713119507,1.0
60,100,6,2.5524494647979736,0.9991666666666666
80,100,2,5.147794723510742,0.761875
80,100,4,3.356842279434204,1.0
80,100,6,2.2883141040802,0.99875
100,100,2,2.3325695991516113,0.7575
100,100,4,2.926072359085083,1.0
100,100,6,1.8553943634033203,0.9995
